day	hour	value
1	1	15.9
1	2	31.9
1	3	26.9
1	4	29.9
1	5	32.9
1	6	21.9
1	7	22.9
1	8	24.9
1	9	17.9
1	10	19.9
1	11	17.9
1	12	25.9
2	1	6.9
2	2	52.3
2	3	71.9
2	4	77.0
2	5	62.0
2	6	55.9
2	7	54.1
2	8	60.7
2	9	67.8
2	10	62.0
2	11	56.3
2	12	54.8
3	1	6.9
3	2	6.9
3	3	6.9
3	4	15.9
3	5	9.8
3	6	8.9
3	7	2.5
3	8	7.8
3	9	15.0
3	10	8.5
3	11	0.0
3	12	15.3
4	1	68.9
4	2	66.9
4	3	57.9
4	4	70.9
4	5	73.9
4	6	48.9
4	7	68.9
4	8	60.9
4	9	51.9
4	10	63.9
4	11	56.9
4	12	64.9
